X,Y
277006.810685381,0.0475249040163823
335613.321751126,0.238544798147198
406619.250473068,0.981650579539405
492647.94970769,3.2072911685957
596877.796781207,8.62935181965158
723159.620377543,31.8902879591815
876158.971509356,87.2091454212384
1061528.49485091,154.930551710007
1286116.76878597,257.427996039236
1558221.32988033,502.735403486511
1887895.22990668,508.933905389002
2287318.45133843,348.806877123339
2771247.90346119,251.133881958766
3357562.62445404,155.75791964356
4067924.33222984,38.4399500510411
4928577.72844622,5.93224089661499
5971320.12335662,0.654017207365749
