X,Y
729661.660337143,0.0290608058980859
884036.652291285,0.092085650998157
1071072.86167849,0.403614631277016
1297680.44350966,1.44118105660173
1572231.53878482,5.62843940629366
1904869.5878195,13.7260425194457
2307884.08519278,26.4829626540123
2796164.6218433,63.1696752403144
3387750.98914683,129.14811799387
4104499.66887126,155.77102111105
4972891.33284467,185.293935806779
6025009.18585343,310.832524868575
7299724.29718324,338.355941938017
8844131.71352527,258.535580340927
10715290.4112236,226.715469871547
12982331.3713511,245.17721737358
15729011.6616,147.960050316533
19056808.8869389,76.298608605708
23088670.3352072,58.7353577401434
27973555.3318817,40.531641501334
33891938.6237935,19.2287412055645
41062478.1173183,11.0627231624048
49750093.3142703,10.578771931408
60275752.9077312,7.24234427416655
73028333.1458946,4.44323966101767
88478985.0776581,3.79287493659894
107198541.48571,3.71013723534822
129878606.615768,2.28795901089561
157357107.873543,1.28620406444412
190649253.510852,1.77735989282668
230985040.049509,1.31304700067968
279854695.175276,0.790400869881385
339063735.014439,0.752710656731537
410799669.914198,0.909504020865585
497712823.208379,0.464596829635951
603014248.861969,0.369848833378195
730594365.615379,0.402195270471014
885166690.631748,0.354872771961393
1072441982.96547,0.275940264310307
1299339230.67763,0.126342285786545
1574241276.63257,0.266110836987723
1907304527.21057,0.225403135444442
2310834186.29419,0.129632194643911
2799738877.75309,0.177999704008642
3392081452.70369,0.180138875487984
4109746331.41881,0.110662465950642
4979248035.19916,0.122902446179543
6032710779.85862,0.151161132950131
7309055322.44023,0.08473752472327
8855436909.86355,0.0894183369078083
10728987455.3026,0.0742306556658461
12998926307.9526,0.0656287421995868
15749117599.7295,0.0412294077808733
19081168651.4727,0.0374642552964697
23118183910.964,0.0129687406146859
28009313114.053,0.0130937879164246
33935261703.191,0
41114967088.7957,0.00384408326658581
49813687411.575,0.00931475692597377
60352801649.556,0
73121683140.1297,0
88592085190.8762,0
107335570263.427,0.00501772102441409
130044626661.092,0.00303966176220978
157558252887.814,0.00368276497783938
190892954906.592,0
231280301508.017,0
280212425292.559,0.00327484116924567
339497150325.257,0
