X,Y
495452.707686971,0.0121432508769734
600275.959230013,0.0147124063613985
727276.734265364,0.21167329693989
881147.145859656,0.780169658013015
1067572.02049216,2.46773886809304
1293438.92707705,8.7258153044575
1567092.64196244,30.9596576738762
1898643.45125474,64.2250473985466
2300340.68086635,101.899767227749
2787025.25455828,197.746210336745
3376677.99998227,337.504536770373
4091083.96018872,337.026378407379
4956637.25395236,303.651725961204
6005316.22092034,379.256494418739
7275864.87885352,299.386150834103
8815224.34254448,153.119491592765
10680267.0889668,77.4421271810163
12939898.1420298,46.6853532065815
15677600.8063582,12.7522524518821
18994521.0036227,2.72052509111421
23013204.163914,0.537600560365334
27882122.7336546,0.106777223033933
