1146.32702277573,3.98294909625439e-11,3.98294909625439e-12,7.96589819250878e-13,3.98294909625439e-13
1175.60161337813,9.56662398503411e-11,9.56662398503411e-12,1.91332479700682e-12,9.56662398503411e-13
1205.62381058659,1.64847851121276e-10,1.64847851121276e-11,3.29695702242552e-12,1.64847851121276e-12
1236.41270657715,2.44129757708736e-10,2.44129757708736e-11,4.88259515417472e-12,2.44129757708736e-12
1267.98788109673,3.31308127066726e-10,3.31308127066726e-11,6.62616254133452e-12,3.31308127066726e-12
1300.36941391449,4.24173385283901e-10,4.24173385283901e-11,8.48346770567801e-12,4.24173385283901e-12
1333.57789759138,5.21496018182612e-10,5.21496018182612e-11,1.04299203636522e-11,5.21496018182612e-12
1367.63445057559,6.22969064820597e-10,6.22969064820597e-11,1.2459381296412e-11,6.22969064820598e-12
1402.56073063255,7.26498290897381e-10,7.26498290897381e-11,1.45299658179476e-11,7.26498290897381e-12
1438.37894861789,8.32839518797395e-10,8.32839518797395e-11,1.66567903759479e-11,8.32839518797395e-12
1475.11188260206,9.38367923987116e-10,9.38367923987115e-11,1.87673584797423e-11,9.38367923987115e-12
1512.78289235575,1.04558867100714e-09,1.04558867100714e-10,2.09117734201429e-11,1.04558867100714e-11
1551.41593420517,1.15294863071121e-09,1.15294863071121e-10,2.30589726142242e-11,1.15294863071121e-11
1591.03557626675,1.2584522579206e-09,1.2584522579206e-10,2.5169045158412e-11,1.2584522579206e-11
1631.66701407084,1.36335998902975e-09,1.36335998902975e-10,2.7267199780595e-11,1.36335998902975e-11
1673.33608658445,1.46771887188893e-09,1.46771887188893e-10,2.93543774377787e-11,1.46771887188893e-11
1716.06929264319,1.56813069700458e-09,1.56813069700458e-10,3.13626139400916e-11,1.56813069700458e-11
1759.89380780277,1.6664198901204e-09,1.6664198901204e-10,3.3328397802408e-11,1.6664198901204e-11
1804.83750162093,1.76344499435195e-09,1.76344499435195e-10,3.52688998870391e-11,1.76344499435195e-11
1850.92895538066,1.85815313163858e-09,1.85815313163858e-10,3.71630626327716e-11,1.85815313163858e-11
1898.19748026607,1.94790551258266e-09,1.94790551258266e-10,3.89581102516532e-11,1.94790551258266e-11
1946.67313600236,2.07581258425267e-09,2.07581258425267e-10,4.15162516850534e-11,2.07581258425267e-11
1996.38674997192,2.38454900194494e-09,2.38454900194494e-10,4.76909800388987e-11,2.38454900194494e-11
2047.36993681851,2.83511293422988e-09,2.83511293422988e-10,5.67022586845975e-11,2.83511293422988e-11
2099.65511855215,3.36255255016619e-09,3.36255255016619e-10,6.72510510033237e-11,3.36255255016619e-11
2153.27554516742,3.96577306717644e-09,3.96577306717644e-10,7.93154613435288e-11,3.96577306717644e-11
2208.26531578827,4.6001508157995e-09,4.6001508157995e-10,9.200301631599e-11,4.6001508157995e-11
2264.65940035293,5.27553227792766e-09,5.27553227792766e-10,1.05510645558553e-10,5.27553227792766e-11
2322.49366185247,5.99510025086411e-09,5.99510025086411e-10,1.19902005017282e-10,5.99510025086411e-11
2381.80487913735,6.69718641804702e-09,6.69718641804702e-10,1.3394372836094e-10,6.69718641804702e-11
2442.63077030643,7.44128684112268e-09,7.44128684112268e-10,1.48825736822454e-10,7.44128684112268e-11
2505.0100166932,8.24340816943188e-09,8.24340816943187e-10,1.64868163388637e-10,8.24340816943187e-11
2568.98228746461,9.18927346206355e-09,9.18927346206355e-10,1.83785469241271e-10,9.18927346206355e-11
2634.58826484811,1.02414087530039e-08,1.02414087530039e-09,2.04828175060077e-10,1.02414087530039e-10
2701.86967000294,1.13182261736888e-08,1.13182261736888e-09,2.26364523473776e-10,1.13182261736888e-10
2770.86928955203,1.2442232639614e-08,1.2442232639614e-09,2.48844652792281e-10,1.2442232639614e-10
2841.63100279156,1.35670084606363e-08,1.35670084606363e-09,2.71340169212726e-10,1.35670084606363e-10
2914.19980959537,1.47419211478207e-08,1.47419211478207e-09,2.94838422956413e-10,1.47419211478207e-10
2988.62185903193,1.59073545200804e-08,1.59073545200804e-09,3.18147090401608e-10,1.59073545200804e-10
3064.9444787122,1.70591585957589e-08,1.70591585957589e-09,3.41183171915178e-10,1.70591585957589e-10
3143.21620488691,1.82382351185322e-08,1.82382351185322e-09,3.64764702370643e-10,1.82382351185322e-10
3223.48681331248,1.95149575062535e-08,1.95149575062535e-09,3.9029915012507e-10,1.95149575062535e-10
3305.80735090518,2.08806524832831e-08,2.08806524832831e-09,4.17613049665661e-10,2.08806524832831e-10
3390.23016820368,2.24519953822707e-08,2.24519953822706e-09,4.49039907645413e-10,2.24519953822706e-10
3476.80895266061,2.40290407055013e-08,2.40290407055013e-09,4.80580814110025e-10,2.40290407055013e-10
3565.59876278427,2.56243918226445e-08,2.56243918226445e-09,5.1248783645289e-10,2.56243918226445e-10
3656.65606315234,2.72669840249417e-08,2.72669840249417e-09,5.45339680498834e-10,2.72669840249417e-10
3750.03876031963,2.88736859193734e-08,2.88736859193734e-09,5.77473718387468e-10,2.88736859193734e-10
3845.80623964297,3.05639885909817e-08,3.05639885909816e-09,6.11279771819633e-10,3.05639885909817e-10
3944.01940304644,3.21236427666117e-08,3.21236427666117e-09,6.42472855332234e-10,3.21236427666117e-10
4044.74070775102,3.39610415227326e-08,3.39610415227326e-09,6.79220830454653e-10,3.39610415227326e-10
4148.03420599338,3.61164324328953e-08,3.61164324328953e-09,7.22328648657906e-10,3.61164324328953e-10
4253.96558575894,3.82834288303051e-08,3.82834288303051e-09,7.65668576606102e-10,3.82834288303051e-10
